Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,CONV1,16,4177157,6.47858e+08,20.3877,31.4694,1.30559e+06,187.257,16,6.91736,9,9,170,54,1,1,150528,1728,1.31453e+08,85162752,176.011,3.5328,4,3.71263,85162752, 28892732, 28892732, 150528, 2.94755, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 9462528, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV2,16,89112581,1.43831e+10,20.3878,1.41748,1.30559e+06,187.257,16,6.91784,9,9,170,54,1,1,3211264,36864,1.26316e+08,1816805376,176.011,3.5328,4,3.71263,1816805376, 616429116, 616429116, 3211264, 2.94731, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV3,16,44154885,1.88386e+10,20.2041,1.07249,1.30559e+06,187.257,16,6.97746,9,9,170,54,1,1,802816,73728,4.73555e+07,892108800,176.011,3.5328,4,3.71263,892108800, 308014140, 308014140, 802816, 2.89632, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 99123200, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV4,16,88309765,1.96183e+10,20.2041,1.02986,1.30559e+06,187.257,16,6.9775,9,9,170,54,1,1,1605632,147456,9.09465e+07,1784217600,176.011,3.5328,4,3.71263,1784217600, 616033340, 616033340, 1605632, 2.8963, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV5,16,43352069,1.85674e+10,19.8367,1.06836,1.30559e+06,187.257,16,7.09353,9,9,170,54,1,1,401408,294912,4.63157e+07,859963392,176.011,3.5328,4,3.71263,859963392, 307222588, 307222588, 401408, 2.79915, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 95551488, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV6,16,86704133,1.92768e+10,19.8367,1.02905,1.30559e+06,187.257,16,7.09363,9,9,170,54,1,1,802816,589824,8.92225e+07,1719926784,176.011,3.5328,4,3.71263,1719926784, 614455356, 614455356, 802816, 2.79911, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV7,16,86704133,2.4968e+10,19.8367,0.794485,1.30559e+06,187.257,16,7.09363,9,9,170,54,1,1,802816,589824,6.88851e+07,1719926784,176.011,3.5328,4,3.71263,1719926784, 614455356, 614455356, 802816, 2.79911, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
vgg16,CONV8,16,47710213,1.87196e+10,16.7143,0.892878,1.30559e+06,187.257,16,7.25514,9,9,170,54,1,1,200704,1179648,4.25994e+07,797442048,176.011,3.5328,4,3.71263,797442048, 344961084, 344961084, 200704, 2.31169, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 88604672, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
vgg16,CONV9,16,95420421,2.00447e+10,16.7143,0.833852,1.30559e+06,187.257,16,7.25532,9,9,170,54,1,1,401408,2359296,7.95665e+07,1594884096,176.011,3.5328,4,3.71263,1594884096, 689942588, 689942588, 401408, 2.31162, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
vgg16,CONV10,16,95420421,2.54148e+10,16.7143,0.657661,1.30559e+06,187.257,16,7.25532,9,9,170,54,1,1,401408,2359296,6.27543e+07,1594884096,176.011,3.5328,4,3.71263,1594884096, 689942588, 689942588, 401408, 2.31162, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
vgg16,CONV11,16,22020101,1.42255e+10,15.4286,1.08457,1.30559e+06,187.257,16,7.58257,9,9,170,54,1,1,100352,2359296,2.38823e+07,339738624,176.011,3.5328,4,3.71263,339738624, 164606012, 164606012, 100352, 2.06395, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 1.5
vgg16,CONV12,16,22020101,5.80282e+09,15.4286,2.65881,1.30559e+06,187.257,16,7.58257,9,9,170,54,1,1,100352,2359296,5.85472e+07,339738624,176.011,3.5328,4,3.71263,339738624, 164606012, 164606012, 100352, 2.06395, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 1.5
vgg16,CONV13,16,22020101,5.80282e+09,15.4286,2.65881,1.30559e+06,187.257,16,7.58257,9,9,170,54,1,1,100352,2359296,5.85472e+07,339738624,176.011,3.5328,4,3.71263,339738624, 164606012, 164606012, 100352, 2.06395, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 1.5
